Berlin	3433695	3382169	3442675
Hamburg	1652363	1715392	1774224
Muenchen	1229026	1210223	1330440
Koeln	953551	962884	998105
Frankfurt am Main	644865	648550	671927
Stuttgart	579988	583874	601646
Duesseldorf	575794	569364	586217
Dortmund	599055	588994	581308
Essen	626973	595243	576259
Bremen	551219	539403	547685
